match_id,season,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,16.4,Simran Shaikh,Saika Ishaque,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,16.5,McGrath,Saika Ishaque,0,0,0,0,0,0,stumped,McGrath,Yastika
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,16.6,Ecclestone,Saika Ishaque,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,17.1,Simran Shaikh,Matthews,2,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,17.2,Simran Shaikh,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,17.3,Ecclestone,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,17.4,Simran Shaikh,Matthews,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,17.5,Ecclestone,Matthews,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,17.6,Ecclestone,Matthews,0,0,0,0,0,0,caught,Ecclestone,Nat Sciver-Brunt
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,18.1,Simran Shaikh,Wong,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,18.2,Deepti Sharma,Wong,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,18.3,Deepti Sharma,Wong,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,18.4,Deepti Sharma,Wong,2,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,18.5,Deepti Sharma,Wong,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,18.6,Simran Shaikh,Wong,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,19.1,Simran Shaikh,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,19.2,Deepti Sharma,Amelia Kerr,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,19.3,Deepti Sharma,Amelia Kerr,0,0,0,0,0,0,stumped,Deepti Sharma,Yastika
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,19.4,Shweta Sehrawat,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,19.5,Simran Shaikh,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",UPW,MIW,1,19.6,Shweta Sehrawat,Amelia Kerr,1,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,0.1,Matthews,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,0.2,Matthews,Gayakwad,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,0.3,Matthews,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,0.4,Matthews,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,0.5,Matthews,Gayakwad,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,0.6,Matthews,Gayakwad,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,1.1,Yastika,Ismail,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,1.2,Yastika,Ismail,0,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,1.3,Yastika,Ismail,4,0,0,0,0,0,,,
202310,2023,10,"Mar 12, 2023","Brabourne Stadium, Mumbai",MIW,UPW,2,1.4,Yastika,Ismail,0,0,0,0,0,0,,,
